"TEMPORADA","COLOR","MARCA","DESCRIPCION","CODIGO"
4,"16-BORDEAUX","GREEN COAST","CAMISA ML CUADROS VILLELA","9.97952380799005E+15"
4,"16-PINK","GREEN COAST","CAMISA ML CUADROS FRANELA","9.97952380799001E+15"
4,"7-BORDEAUX","GREEN COAST","CAMISA LISA CREPE","9.97952380799007E+15"
4,"16-DARK BLUE","GREEN COAST","CAMISA ML CUADROS FRANELA","9.97952380799004E+15"
4,"16-BLACK","GREEN COAST","CAMISA ML CUADROS VILLELA","9.97952380799001E+15"
4,"1-WHITE","GREEN COAST","CAMISA LISA CREPE","9.97952380799010E+15"
0,"CRUDO","SANDRO","FALDA","9.97914969999975E+15"
0,"PLATA","SANDRO","FALDA","9.97914969999975E+15"
0,"ROSA","SANDRO","FALDA","9.97914969999951E+15"
0,"MARINO","SANDRO","FALDA","9.97914969999951E+15"
0,"MARINO","SANDRO","FALDA","9.97914969999958E+15"
0,"NEGRO","SANDRO","FALDA","9.97914969999954E+15"
